model,rmse,mae,r2,coverage_95,mean_interval_width,nlpd,crps,interval_score_95
Ordinary least squares,4.940124005341008,3.2064039639003856,0.6672089705941879,,,,,
RidgeCV,4.955586271385415,3.1929767580461235,0.6651224819609396,,,,,
BayesianRidge,4.952970232343062,3.1948988283343986,0.6654759503018602,,,,,
ARDRegression,4.9823187167514,3.21022014437725,0.6614998064258875,,,,,
Bayesian Gibbs,4.94828707813162,3.2055635684975585,0.666108252535208,0.9411764705882353,18.887495076717883,3.0059403554091815,2.4782905676391005,32.53164845682214
