model,train_fraction,rmse_mean,rmse_std
Bayesian Gibbs,0.2,5.304835657592899,0.25009195028208847
Bayesian Gibbs,0.3,5.1117885229880375,0.22568833902971971
Bayesian Gibbs,0.4,5.108889856309643,0.3327572250119135
Bayesian Gibbs,0.5,4.960884411427474,0.26719846222772475
Bayesian Gibbs,0.6,5.067143316887057,0.5131891506071332
Bayesian Gibbs,0.7,4.817875081495171,0.41420951545903345
Bayesian Gibbs,0.8,4.972302302099038,0.4998743996745887
Ordinary least squares,0.2,5.3609659382991985,0.2467126915163327
Ordinary least squares,0.3,5.140238048637436,0.22349514702849518
Ordinary least squares,0.4,5.128393792411531,0.33632783027638646
Ordinary least squares,0.5,4.966294567132905,0.26637698055439374
Ordinary least squares,0.6,5.070489379441975,0.5059985188231503
Ordinary least squares,0.7,4.826088335259709,0.409656307082435
Ordinary least squares,0.8,4.97680430580717,0.4923203406232869
