split,seed,model,rmse,mae,r2,coverage_95,mean_interval_width,nlpd,crps,interval_score_95
0,42,Ordinary least squares,4.940124005341008,3.2064039639003856,0.6672089705941879,0.9411764705882353,18.579327824798547,3.018092449588068,2.481994381579731,32.72446102069773
0,42,RidgeCV,4.955586271385415,3.1929767580461235,0.6651224819609396,0.9411764705882353,18.60183373223218,3.0213868048715518,2.4775961143487946,32.998157476322966
0,42,BayesianRidge,4.952970232343062,3.1948988283343986,0.6654759503018602,0.9411764705882353,18.82644671495654,3.012229551184486,2.4788083391744182,32.598754524790216
0,42,ARDRegression,4.9823187167514,3.21022014437725,0.6614998064258875,0.9411764705882353,18.748029544495523,3.0179623860146365,2.4972534326443143,32.63799738659682
0,42,Bayesian Gibbs,4.948214841994618,3.2040444495846514,0.6661180009081643,0.9411764705882353,18.910059339401823,3.005920086588786,2.4876748566129163,32.67482982508702
1,43,Ordinary least squares,4.709376673230217,3.305532545401729,0.7595128750181763,0.9411764705882353,18.74028805171278,2.968718243713402,2.5396543634111546,27.585187137528738
1,43,RidgeCV,4.701951193774371,3.282958612698693,0.7602706502011177,0.9313725490196079,18.756688988045273,2.967218797280524,2.5313005356093576,27.69747814808577
1,43,BayesianRidge,4.701699615340644,3.281878860185565,0.7602963030071079,0.9411764705882353,19.075622888991266,2.9625887334877987,2.531434118195225,27.42356905875672
1,43,ARDRegression,4.72459861441673,3.302662853896187,0.7579557275366358,0.9313725490196079,18.96049611851359,2.967075020224183,2.5432441212735304,27.53611619468798
1,43,Bayesian Gibbs,4.705473537706068,3.296757820431425,0.7599113417058747,0.9313725490196079,19.232075878424197,2.9633499092617956,2.5421215101936196,27.147898656655745
2,44,Ordinary least squares,4.577157370890599,3.5070278550810166,0.7519714874887771,0.9607843137254902,18.94742891415696,2.9428836235199287,2.5443590728846504,24.08803490461318
2,44,RidgeCV,4.537543307551329,3.4605869232424524,0.7562461489185881,0.9607843137254902,18.960976040819894,2.935241834881619,2.524295857240024,23.718097995707087
2,44,BayesianRidge,4.5314174123278494,3.452992987018348,0.7569038627954322,0.9607843137254902,19.247170552134328,2.9326600806450576,2.5215157969904043,23.488168421102984
2,44,ARDRegression,4.541295777460155,3.484275523887684,0.7558428217694317,0.9607843137254902,19.153187846263613,2.9337753454403113,2.5300576373402697,23.326459990153403
2,44,Bayesian Gibbs,4.556506756174246,3.4849268322206286,0.7542044834673148,0.9607843137254902,19.332777203800106,2.9379854602429223,2.535294813463348,23.55935962600878
3,45,Ordinary least squares,5.29998586377833,3.8989914395610565,0.740096442372146,0.9117647058823529,18.065844904243068,3.1081282789398976,2.890682020557873,31.867717564944854
3,45,RidgeCV,5.3036382370549875,3.871510830076502,0.7397381048536363,0.9117647058823529,18.077481128695098,3.108831684130804,2.883504139401526,32.107772465208335
3,45,BayesianRidge,5.305134403900653,3.865839678591706,0.7395912433499358,0.9117647058823529,18.33747469674501,3.095177357059894,2.878422077082709,31.53190572199255
3,45,ARDRegression,5.27724792374686,3.8553057977660803,0.742321729327846,0.9117647058823529,18.25282436017546,3.091563543998829,2.8672053788344396,31.30252491050085
3,45,Bayesian Gibbs,5.301855810663839,3.883899074987863,0.7399130110962243,0.9117647058823529,18.43620309462563,3.092173508724941,2.879883357659775,31.47947516761024
4,46,Ordinary least squares,3.6691798652868983,2.87616833238764,0.7923718218542664,0.9901960784313726,19.628077321719655,2.798304285655672,2.0981656878716355,21.745852858599267
4,46,RidgeCV,3.6630762498192255,2.8562456792941893,0.7930620188765665,0.9901960784313726,19.64511534595602,2.797815531332447,2.091344459299338,21.87614620266305
4,46,BayesianRidge,3.662994910430938,2.8549167276662417,0.79307120897842,0.9901960784313726,19.896935918060386,2.8021864771253404,2.0958919681672024,22.02315583908803
4,46,ARDRegression,3.6562599851712596,2.8396567546888365,0.7938314441226628,0.9901960784313726,19.808320877766658,2.799007559778941,2.0895314026850715,21.997447309951497
4,46,Bayesian Gibbs,3.662431772470249,2.8642958456803735,0.7931348293234036,0.9901960784313726,19.996731954736667,2.803726134587081,2.094998763437551,22.099432182935512
5,47,Ordinary least squares,4.812652488406824,3.0864268563562316,0.7113722747663911,0.9607843137254902,18.660611970977254,2.990306743404464,2.3974082039619473,30.59473190973871
5,47,RidgeCV,4.823898669479941,3.064431123283107,0.7100217711764162,0.9607843137254902,18.678101963456744,2.992673622611452,2.3864664061303027,30.836503020123573
5,47,BayesianRidge,4.824682911512445,3.0635750331320217,0.7099274774870568,0.9607843137254902,18.91973958610523,2.9786014692615916,2.387120877535856,30.55939007378719
5,47,ARDRegression,4.79301183562648,3.077252826413081,0.7137232733301064,0.9607843137254902,18.82682687472846,2.9742790821782044,2.384629941511049,30.20344683879571
5,47,Bayesian Gibbs,4.813657821663174,3.076891681944588,0.7112516770882376,0.9607843137254902,19.007274946940107,2.9709422004876496,2.3936404479235875,30.4603077941354
