model,train_fraction,repeat,rmse
Bayesian Gibbs,0.4,17,4.678766657205207
Ordinary least squares,0.4,18,4.761645613379473
Bayesian Gibbs,0.4,18,4.763720077962292
Ordinary least squares,0.4,19,5.503252552982798
Bayesian Gibbs,0.4,19,5.47419687781876
Ordinary least squares,0.5,0,5.286281281336806
Bayesian Gibbs,0.5,0,5.279556159764255
Ordinary least squares,0.5,1,4.863217801004437
Bayesian Gibbs,0.5,1,4.845781969261739
Ordinary least squares,0.5,2,5.166785053469499
Bayesian Gibbs,0.5,2,5.164462827259671
Ordinary least squares,0.5,3,5.510839195040444
Bayesian Gibbs,0.5,3,5.521138026253414
Ordinary least squares,0.5,4,5.239730876005946
Bayesian Gibbs,0.5,4,5.172594790565931
Ordinary least squares,0.5,5,4.670455828989342
Bayesian Gibbs,0.5,5,4.653045080759595
Ordinary least squares,0.5,6,5.088183835746329
Bayesian Gibbs,0.5,6,5.090255851884755
Ordinary least squares,0.5,7,4.9602008291951085
Bayesian Gibbs,0.5,7,4.966354401307699
Ordinary least squares,0.5,8,4.903673389317129
Bayesian Gibbs,0.5,8,4.897044712522105
Ordinary least squares,0.5,9,4.843426798332579
Bayesian Gibbs,0.5,9,4.8485387643519635
Ordinary least squares,0.5,10,4.684198276597372
Bayesian Gibbs,0.5,10,4.681714316940974
Ordinary least squares,0.5,11,5.125896242025151
Bayesian Gibbs,0.5,11,5.136299657310548
Ordinary least squares,0.5,12,5.049210909199805
Bayesian Gibbs,0.5,12,5.043738987444589
Ordinary least squares,0.5,13,4.518891900616236
Bayesian Gibbs,0.5,13,4.527570980063455
Ordinary least squares,0.5,14,4.98668006978557
Bayesian Gibbs,0.5,14,4.983858993820453
Ordinary least squares,0.5,15,4.779256788085095
Bayesian Gibbs,0.5,15,4.7681078707441396
Ordinary least squares,0.5,16,4.576645023978037
Bayesian Gibbs,0.5,16,4.549531093034315
Ordinary least squares,0.5,17,5.369821879902961
Bayesian Gibbs,0.5,17,5.368564724815702
Ordinary least squares,0.5,18,4.768758268955152
Bayesian Gibbs,0.5,18,4.769103658113989
Ordinary least squares,0.5,19,4.933737095075099
Bayesian Gibbs,0.5,19,4.950425362330196
Ordinary least squares,0.6,0,4.956729257245419
Bayesian Gibbs,0.6,0,4.953572132541986
Ordinary least squares,0.6,1,4.949449697977138
Bayesian Gibbs,0.6,1,4.949355569028752
Ordinary least squares,0.6,2,5.9305284551866375
Bayesian Gibbs,0.6,2,5.9408534787685365
Ordinary least squares,0.6,3,6.142034385122997
Bayesian Gibbs,0.6,3,6.151383235662625
Ordinary least squares,0.6,4,4.748643907043239
Bayesian Gibbs,0.6,4,4.745953515409184
Ordinary least squares,0.6,5,4.461799470704414
Bayesian Gibbs,0.6,5,4.439377566563127
Ordinary least squares,0.6,6,5.010698380724221
Bayesian Gibbs,0.6,6,4.9905880916035255
Ordinary least squares,0.6,7,4.609302045972082
Bayesian Gibbs,0.6,7,4.602957352944548
Ordinary least squares,0.6,8,5.0474044047628
Bayesian Gibbs,0.6,8,5.059804828068511
Ordinary least squares,0.6,9,5.005364059015404
Bayesian Gibbs,0.6,9,5.004939731229675
Ordinary least squares,0.6,10,4.6741767773167915
Bayesian Gibbs,0.6,10,4.644883696195302
Ordinary least squares,0.6,11,5.033663061781667
Bayesian Gibbs,0.6,11,5.039442403798064
Ordinary least squares,0.6,12,4.83275480839099
Bayesian Gibbs,0.6,12,4.833673798162884
Ordinary least squares,0.6,13,5.307202214475702
Bayesian Gibbs,0.6,13,5.298497752167434
Ordinary least squares,0.6,14,4.603041796244474
Bayesian Gibbs,0.6,14,4.584671967896079
Ordinary least squares,0.6,15,4.899083818308608
Bayesian Gibbs,0.6,15,4.887722506943009
Ordinary least squares,0.6,16,6.338083918485625
Bayesian Gibbs,0.6,16,6.345867357650325
Ordinary least squares,0.6,17,4.985451633875892
Bayesian Gibbs,0.6,17,4.9923618317315475
Ordinary least squares,0.6,18,5.1441094009232256
Bayesian Gibbs,0.6,18,5.150335697721926
Ordinary least squares,0.6,19,4.7302660952821665
Bayesian Gibbs,0.6,19,4.726623823654089
Ordinary least squares,0.7,0,4.602087399800716
Bayesian Gibbs,0.7,0,4.570569279669564
Ordinary least squares,0.7,1,5.029228146328778
Bayesian Gibbs,0.7,1,5.036602376707468
Ordinary least squares,0.7,2,4.865466228764394
Bayesian Gibbs,0.7,2,4.85208874511404
Ordinary least squares,0.7,3,4.866270873613456
Bayesian Gibbs,0.7,3,4.8453565083701875
Ordinary least squares,0.7,4,4.351651432263455
Bayesian Gibbs,0.7,4,4.346965693496209
Ordinary least squares,0.7,5,4.65428860918763
Bayesian Gibbs,0.7,5,4.653046969980587
Ordinary least squares,0.7,6,4.984089278355558
Bayesian Gibbs,0.7,6,4.974158649239185
Ordinary least squares,0.7,7,5.2795710795888295
Bayesian Gibbs,0.7,7,5.280494539946321
Ordinary least squares,0.7,8,4.191473426733885
Bayesian Gibbs,0.7,8,4.178024122762593
Ordinary least squares,0.7,9,4.903864098454403
Bayesian Gibbs,0.7,9,4.891079890935522
Ordinary least squares,0.7,10,4.715212031347122
Bayesian Gibbs,0.7,10,4.700963676567731
Ordinary least squares,0.7,11,4.435642384288447
Bayesian Gibbs,0.7,11,4.425039323678154
Ordinary least squares,0.7,12,4.284983766988017
Bayesian Gibbs,0.7,12,4.286278650085456
Ordinary least squares,0.7,13,5.140874471468667
Bayesian Gibbs,0.7,13,5.150458831704269
Ordinary least squares,0.7,14,5.801989523014055
Bayesian Gibbs,0.7,14,5.798689320031736
Ordinary least squares,0.7,15,5.121704568828396
Bayesian Gibbs,0.7,15,5.125860142768791
Ordinary least squares,0.7,16,5.314328552546606
Bayesian Gibbs,0.7,16,5.314887118237129
Ordinary least squares,0.7,17,5.035533456164526
Bayesian Gibbs,0.7,17,5.027688778698952
Ordinary least squares,0.7,18,4.284419116721737
Bayesian Gibbs,0.7,18,4.267341963688313
Ordinary least squares,0.7,19,4.659088260735507
Bayesian Gibbs,0.7,19,4.631907048221216
Ordinary least squares,0.8,0,4.250906772764391
Bayesian Gibbs,0.8,0,4.223148807368753
Ordinary least squares,0.8,1,5.322587026563706
Bayesian Gibbs,0.8,1,5.32687076715238
Ordinary least squares,0.8,2,5.624056596676062
Bayesian Gibbs,0.8,2,5.627380649460077
Ordinary least squares,0.8,3,4.710725607539632
Bayesian Gibbs,0.8,3,4.7042510862256215
Ordinary least squares,0.8,4,4.989853514055163
Bayesian Gibbs,0.8,4,5.001247534576841
Ordinary least squares,0.8,5,4.969740649276699
Bayesian Gibbs,0.8,5,4.9595062715683635
Ordinary least squares,0.8,6,5.19399794756676
Bayesian Gibbs,0.8,6,5.199778229642759
Ordinary least squares,0.8,7,4.776085705094337
Bayesian Gibbs,0.8,7,4.772523189676395
Ordinary least squares,0.8,8,4.340367990738494
Bayesian Gibbs,0.8,8,4.306806517098575
Ordinary least squares,0.8,9,5.116838439264392
Bayesian Gibbs,0.8,9,5.116420060852672
Ordinary least squares,0.8,10,4.943820719996348
Bayesian Gibbs,0.8,10,4.907432661470839
Ordinary least squares,0.8,11,4.715361311063028
Bayesian Gibbs,0.8,11,4.716098082282712
Ordinary least squares,0.8,12,5.665303916429143
Bayesian Gibbs,0.8,12,5.678428069100577
Ordinary least squares,0.8,13,4.4518653092836376
Bayesian Gibbs,0.8,13,4.431074836829126
Ordinary least squares,0.8,14,5.049997054161635
Bayesian Gibbs,0.8,14,5.05091555544493
Ordinary least squares,0.8,15,4.76563613214034
Bayesian Gibbs,0.8,15,4.769742558956349
Ordinary least squares,0.8,16,4.783612266001607
Bayesian Gibbs,0.8,16,4.79586598377197
Ordinary least squares,0.8,17,5.85986627113691
Bayesian Gibbs,0.8,17,5.846062391213181
Ordinary least squares,0.8,18,4.206116562478473
Bayesian Gibbs,0.8,18,4.200677926350262
Ordinary least squares,0.8,19,5.799346323912645
Bayesian Gibbs,0.8,19,5.811814862938376
